session;group;group_affect;time;sentiment;answer_length;sum_senti;rel_senti
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;trust; 25; 4;0,160000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;anger; 31; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;anticipation; 31; 3;0,096774194
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;disgust; 31; 1;0,032258065
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;fear; 31; 1;0,032258065
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;joy; 31; 4;0,129032258
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;negative; 31; 1;0,032258065
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;positive; 31; 6;0,193548387
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;sadness; 31; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;surprise; 31; 2;0,064516129
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;trust; 31; 3;0,096774194
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;anger; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;anticipation; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;disgust; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;fear; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;joy; 48; 1;0,020833333
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;negative; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;positive; 48; 2;0,041666667
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;sadness; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;surprise; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;trust; 48; 1;0,020833333
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;anger; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;anticipation; 19; 1;0,052631579
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;disgust; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;fear; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;joy; 19; 2;0,105263158
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;negative; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;positive; 19; 2;0,105263158
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;sadness; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;surprise; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;trust; 19; 2;0,105263158
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;anger; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;anticipation; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;disgust; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;fear; 15; 1;0,066666667
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;joy; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;negative; 15; 1;0,066666667
